,index (ignore),SOC code (occupation label),"Income (Yscore weighted with importance, formula in report)",Satisfaction,Learnability,Security,score (mean of the 4),color,Career Cluster,Career Pathway,Occupation
132,274,17-2011.00,3399.527914,571.9129584,-2743.93637,2586.920075,953.6061445,0.766957856,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Aerospace Engineers
133,993,39-1021.01,3260.909205,567.6949588,-2660.009006,2645.649406,953.561141,0.76690317,Business Management and Administration,Management,Spa Managers
134,70,11-9039.01,3308.326069,575.2529931,-2725.675612,2655.982285,953.4714338,0.766794163,Education and Training,Administration and Administrative Support,Distance Learning Coordinators
135,76,11-9041.00,3340.137818,569.7990316,-2705.633482,2609.355931,953.4148246,0.766725374,"Science, Technology, Engineering and Mathematics",Science and Math,Architectural and Engineering Managers
136,74,11-9041.00,3340.137818,569.7990316,-2705.633482,2609.355931,953.4148246,0.766725374,Information Technology,Programming and Software Development,Architectural and Engineering Managers
137,73,11-9041.00,3340.137818,569.7990316,-2705.633482,2609.355931,953.4148246,0.766725374,Government and Public Administration,Planning,Architectural and Engineering Managers
138,72,11-9041.00,3340.137818,569.7990316,-2705.633482,2609.355931,953.4148246,0.766725374,Architecture and Construction,Design/Pre-Construction,Architectural and Engineering Managers
139,75,11-9041.00,3340.137818,569.7990316,-2705.633482,2609.355931,953.4148246,0.766725374,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Architectural and Engineering Managers
140,798,29-1051.00,3334.644982,575.4360541,-2743.334415,2641.618465,952.0912716,0.765117061,Health Science,Biotechnology Research and Development,Pharmacists
141,799,29-1051.00,3334.644982,575.4360541,-2743.334415,2641.618465,952.0912716,0.765117061,Health Science,Therapeutic Services,Pharmacists
142,267,17-1011.00,3350.423285,568.8182061,-2699.531574,2587.91817,951.9070218,0.764893171,Architecture and Construction,Design/Pre-Construction,"Architects, Except Landscape and Naval"
143,7,11-1021.00,3274.591492,568.8685509,-2665.072519,2628.753581,951.7852765,0.764745232,Government and Public Administration,Governance,General and Operations Managers
144,6,11-1021.00,3274.591492,568.8685509,-2665.072519,2628.753581,951.7852765,0.764745232,Business Management and Administration,Management,General and Operations Managers
145,543,25-1041.00,3325.424813,582.8736323,-2765.728445,2663.709527,951.5698817,0.764483495,"Agriculture, Food and Natural Resources",Plant Systems,"Agricultural Sciences Teachers, Postsecondary"
146,540,25-1041.00,3325.424813,582.8736323,-2765.728445,2663.709527,951.5698817,0.764483495,"Agriculture, Food and Natural Resources",Agribusiness Systems,"Agricultural Sciences Teachers, Postsecondary"
147,541,25-1041.00,3325.424813,582.8736323,-2765.728445,2663.709527,951.5698817,0.764483495,"Agriculture, Food and Natural Resources",Animal Systems,"Agricultural Sciences Teachers, Postsecondary"
148,542,25-1041.00,3325.424813,582.8736323,-2765.728445,2663.709527,951.5698817,0.764483495,"Agriculture, Food and Natural Resources",Food Products and Processing Systems,"Agricultural Sciences Teachers, Postsecondary"
149,544,25-1041.00,3325.424813,582.8736323,-2765.728445,2663.709527,951.5698817,0.764483495,"Agriculture, Food and Natural Resources","Power, Structural and Technical Systems","Agricultural Sciences Teachers, Postsecondary"
150,545,25-1041.00,3325.424813,582.8736323,-2765.728445,2663.709527,951.5698817,0.764483495,Education and Training,Teaching/Training,"Agricultural Sciences Teachers, Postsecondary"
151,1194,45-1011.08,3307.135324,576.1613393,-2626.282446,2546.511458,950.8814189,0.763646911,"Agriculture, Food and Natural Resources",Animal Systems,First-Line Supervisors of Animal Husbandry and Animal Care Workers
152,1195,45-1011.08,3307.135324,576.1613393,-2626.282446,2546.511458,950.8814189,0.763646911,"Agriculture, Food and Natural Resources",Plant Systems,First-Line Supervisors of Animal Husbandry and Animal Care Workers
153,800,29-1061.00,3329.076806,576.0454564,-2701.863683,2599.986693,950.8113182,0.763561728,Health Science,Therapeutic Services,Anesthesiologists
154,486,21-1021.00,3291.354851,577.7338939,-2780.377832,2712.169039,950.2199881,0.762843175,"Law, Public Safety, Corrections and Security",Correction Services,"Child, Family, and School Social Workers"
155,485,21-1021.00,3291.354851,577.7338939,-2780.377832,2712.169039,950.2199881,0.762843175,Human Services,Family and Community Services,"Child, Family, and School Social Workers"
156,302,17-2151.00,3394.642693,567.4970012,-2690.900938,2527.70663,949.7363465,0.762255478,"Science, Technology, Engineering and Mathematics",Engineering and Technology,"Mining and Geological Engineers, Including Mining Safety Engineers"
157,65,11-9021.00,3307.709679,565.5005775,-2655.423453,2580.322043,949.5272116,0.762001348,Architecture and Construction,Construction,Construction Managers
158,66,11-9021.00,3307.709679,565.5005775,-2655.423453,2580.322043,949.5272116,0.762001348,Business Management and Administration,Management,Construction Managers
159,91,11-9121.00,3357.851012,571.70909,-2736.006464,2603.799038,949.3381689,0.761771634,"Agriculture, Food and Natural Resources",Natural Resources Systems,Natural Sciences Managers
160,92,11-9121.00,3357.851012,571.70909,-2736.006464,2603.799038,949.3381689,0.761771634,Business Management and Administration,Business Analysis,Natural Sciences Managers
161,93,11-9121.00,3357.851012,571.70909,-2736.006464,2603.799038,949.3381689,0.761771634,Business Management and Administration,Business Financial Management and Accounting,Natural Sciences Managers
162,95,11-9121.00,3357.851012,571.70909,-2736.006464,2603.799038,949.3381689,0.761771634,Human Services,Counseling and Mental Health Services,Natural Sciences Managers
163,96,11-9121.00,3357.851012,571.70909,-2736.006464,2603.799038,949.3381689,0.761771634,"Science, Technology, Engineering and Mathematics",Science and Math,Natural Sciences Managers
164,94,11-9121.00,3357.851012,571.70909,-2736.006464,2603.799038,949.3381689,0.761771634,Health Science,Biotechnology Research and Development,Natural Sciences Managers
165,111,11-9199.01,3315.960585,573.7832627,-2762.208915,2668.627376,949.0405771,0.761410015,Business Management and Administration,Management,Regulatory Affairs Managers
166,37,11-3051.00,3299.025829,568.599494,-2624.231624,2551.558076,948.7379434,0.761042271,Manufacturing,Production,Industrial Production Managers
167,36,11-3051.00,3299.025829,568.599494,-2624.231624,2551.558076,948.7379434,0.761042271,Business Management and Administration,Management,Industrial Production Managers
168,303,17-2161.00,3360.974832,573.4269766,-2664.866079,2525.376159,948.727972,0.761030154,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Nuclear Engineers
169,671,25-9031.01,3310.333335,574.9890917,-2750.517227,2656.666809,947.8680022,0.759985163,Education and Training,Professional Support Services,Instructional Designers and Technologists
170,550,25-1051.00,3346.436775,581.7794775,-2789.7321,2652.648671,947.7832058,0.759882123,Education and Training,Teaching/Training,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
171,551,25-1051.00,3346.436775,581.7794775,-2789.7321,2652.648671,947.7832058,0.759882123,"Science, Technology, Engineering and Mathematics",Science and Math,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
172,288,17-2081.00,3325.457846,570.2247297,-2712.45932,2606.297188,947.3801108,0.759392303,"Science, Technology, Engineering and Mathematics",Engineering and Technology,Environmental Engineers
