,SOC code,Median Pay,High Meaning,High Satisfaction
320,49-9094.00,35500.0,0.63,0.77
280,49-9098.00,31900.0,0.65,0.65
454,49-9099.00,42200.0,0.54,0.7
720,51-2022.00,32000.0,0.41,0.69
497,51-2031.00,41000.0,0.52,0.67
560,51-2041.00,36900.0,0.49,0.58
747,51-2092.00,28100.0,0.4,0.5
645,51-3011.00,25000.0,0.45,0.68
706,51-3021.00,29800.0,0.42,0.62
491,51-3091.00,30300.0,0.52,0.68
648,51-4011.00,36500.0,0.44,0.5
759,51-4031.00,34400.0,0.39,0.51
466,51-4032.00,40100.0,0.53,0.61
839,51-4034.00,34000.0,0.32,0.35
619,51-4041.00,42600.0,0.47,0.65
867,51-4052.00,52000.0,0.27,0.64
841,51-4061.00,51100.0,0.31,0.7
733,51-4071.00,37600.0,0.41,0.49
638,51-4072.00,30200.0,0.46,0.58
818,51-4081.00,32800.0,0.35,0.52
703,51-4111.00,50900.0,0.42,0.63
696,51-4121.00,40800.0,0.43,0.57
880,51-4122.00,33200.0,0.26,0.63
763,51-4191.00,39300.0,0.38,0.59
644,51-4194.00,37700.0,0.45,0.66
886,51-5111.00,38300.0,0.25,0.51
816,51-6011.00,18700.0,0.35,0.39
685,51-6031.00,25100.0,0.43,0.63
882,51-6092.00,52900.0,0.25,0.5
487,51-6093.00,32700.0,0.52,0.71
784,51-7011.00,37500.0,0.37,0.59
490,51-7021.00,35400.0,0.52,0.72
238,51-8011.00,82500.0,0.72,0.63
256,51-8013.00,56800.0,0.69,0.81
384,51-8021.00,50500.0,0.58,0.77
677,51-8091.00,44500.0,0.43,0.57
263,51-8092.00,63600.0,0.68,0.69
309,51-8093.00,70200.0,0.63,0.8
229,51-8099.00,43500.0,0.73,0.77
590,51-9011.00,38600.0,0.48,0.59
346,51-9012.00,35500.0,0.61,0.77
877,51-9021.00,36000.0,0.26,0.41
445,51-9061.00,44300.0,0.54,0.62
865,51-9071.00,40300.0,0.28,0.53
296,51-9081.00,37400.0,0.65,0.62
27,51-9082.00,37900.0,0.9,0.78
321,51-9083.00,27100.0,0.63,0.53
550,51-9111.00,32800.0,0.5,0.64
701,51-9121.00,35500.0,0.42,0.51
586,51-9123.00,33200.0,0.48,0.61
815,51-9198.00,26600.0,0.35,0.55
457,51-9199.00,38600.0,0.54,0.61
479,53-2011.00,95600.0,0.53,0.74
282,53-2012.00,72600.0,0.65,0.77
378,53-2021.00,69100.0,0.59,0.74
508,53-2022.00,47000.0,0.52,0.83
722,53-2031.00,42000.0,0.41,0.72
500,53-3021.00,30400.0,0.52,0.52
778,53-3031.00,30700.0,0.37,0.53
418,53-3041.00,30600.0,0.55,0.7
753,53-4031.00,50100.0,0.39,0.48
271,53-5021.00,80000.0,0.67,0.75
889,53-6021.00,19700.0,0.05,0.41
539,53-6041.00,49500.0,0.5,0.6
404,53-7021.00,52400.0,0.56,0.6
859,53-7051.00,29100.0,0.29,0.53
789,53-7061.00,24400.0,0.37,0.57
781,53-7062.00,27000.0,0.37,0.49
819,53-7064.00,22900.0,0.34,0.5
521,53-7081.00,30300.0,0.52,0.63
